Mercury,A Cengage production system used to assign Cengages vocabulary and taxonomical terms to content and assets.
Agile,"A rapid, iterative, incremental software development methodology used to develop functionality, as opposed to the Waterfall approach. The particular variation of Agile used by the Next Generation team is scrum.Roles in Agile include: Product Owner Team (Dev, UI, UX, QA, SA, Tech Writer, etc.) Scrum Master"
Flash,"Adobe Systemss interactive multimedia platform, not supported by Apple mobile devices such as the iPad and iPhone."
Provisioning,The process by which CL makes apps available to MindTap - either to a Master or Snapshot.
PAC,"Abbreviation for Printed Access Card. Typically, the saleable access code printed on cards that can be sold separately or bundled with a book in bookstores or other retail outlets."
Asset,"An individual resource that title teams can select to include on a Reader page or in a Learning Path. Examples: A video, chapter question, game, etc."
Atlas,"Cengage Learnings vocabulary management tool. A database that stores vocabulary terms and taxonomies. These vocabulary terms are assigned to content in an upstream editorial system such as Mercury.For Cengages digital products, these vocabulary terms provide access points to content for end users via search and retrieval."
Instructor Front Door,A single location for instructors to access all OLR/SSO-integrated Cengage Learning Products for which they have entitlements.
CCC,Abbreviation for both of the following:Content Contractual ComplianceCopyright Clearance Center (A company that provides rights and permissions for licensing content.)
Metadata,"Structured data that describes, explains, locates, or otherwise makes it easier to retrieve, use or manage information resources.Metadata can be created manually or by automated processing."
SAM,"A web-based eLearning solution that teaches learners how to use the current generation of Microsoft applications. SAM includes an LMS to schedule exam, project, and training assignments and an interactive content player that presents instructor-selected OBQs and PBQs."
Assignment,A Learning Activity that can have a due date associated with it and can generate a score.
Learning Activity (LA),"An assignment for a learner within MindTap. Activities can be assessable, assignable or both.There are several kinds of learning activities:Media Activity (MA)Assignable/Assessable Activity (AA)Reading Activity (RA) Inline Activity"
WebAssign,A homework and test question resource whose gradable problem sets may be incorporated into a MindTap as Distinct or Inline assignments.
Learning Outcome,The outcome of a learning activity; a grade. Alt: Demonstrated competency in a learning objective.
Semantic markup,Markup created to identify the context of tagged content.
ACMS,"Abbreviation for Access Code Management System.The front-end to OLR, providing a structured workflow for digital product set-up and the creation and delivery of access codes."
eLearning,"Generally, the delivery of an online education program by electronic means. Cengage Learning uses digital solutions, or online learning, to describe using a computer or other electronic device to deliver learning, training or education."
Media App,"A MindTap app that renders all images, videos, audio recordings, and Flash assets in a MindTap product."
Skimmer,A tool used for non-linear navigation within a reading activity. Hovering with the mouse displays titles users can click to jump between pages.
Appendices,"Material in the last section of a printed book or eBook that may include Glossary, Index, Reading Suggestions, Conclusion, etc."
IAC,"Abbreviation for Instant Access Code.The saleable digital product sold in CengageBrain Usually sets the subscription length Used to generate Access Codes for the digital product Has a one-to-one relationship with the SSO components that comprise the IAC Can contain one or multiple SSO componentsIn E1, the IAC ISBN must be a sub-product to the core text and have a BOM that contains all of the SSO components in it"
CengageCourse,"Cengage-branded digital offerings that fall into one of the following three categories:CourseMate (COMPLEMENT): A category of Cengage technology solutions that tracks student engagement and is not assignable. A CourseMate solution can include an eBook, interactive teaching and learning tools (for example, quizzes, flashcards, videos and more) plus Engagement Tracker. CourseMate content is integrated into Course Mode MindTaps.CourseMaster (CONNECT): A category of Cengage technology solutions that includes assignable and (some) outcomes-based homework solutions. Branded CourseMaster products include Aplia, CNOW, Delmar, DietAnalyis+, InSite, WebAssign, iLRN, OWL, SAM, and SpeechStudio.Course360 (CREATE): A flexible, customized online course program offered by Cengage Learning.NOTE: CengageCourse is not the name of a product; it is an umbrella term describing the three categories of Cengage-branded digital offerings."
Digital Core,Used when a digital product will be sold as a stand-alone item separate from a core text. Searchable in CengageBrain independent of a title. An IAC is created for it. (See also: CengageBrain; IAC)
Mongo,A JSON database used to store Reader page content and asset metadata for all MindTap products.
IPS,"Integrated Publishing System, used to manage the workflow of product creation."
Reading Activity (RA),"An assignable, not assessable Learning Activity that contains primarily text and possibly, some embedded media."
Reader mode,An eBook ported into MindTap. The eBook and every chapter is a Learning Unit
DocStore,A content repository for display within MindTap.
BOM,Abbreviation for Bill of Materials.The list of resources included in the digital product sold.
Geyser,"The central product creation tool for all CL assessment content, it serves as a delivery platform by connecting into the Covalent web service. It also stores and processes CenDoc, book images, and media content for MindTap products."
Aplia,A CourseMaster Homework Solution providing content that is assignable and required. Aplia covers many college disciplines. Aplia problem sets can be incorporated into a MindTap as assignments.
Section,A specific instance of a course. Some courses only have one section; others have many sections to accommodate large numbers of learners.
Core text ISBN,The ISBN of the physical textbook.
